Nome;Exercício 1;Exercício 2;Exercício 3;Exercício 4;Exercício 5;Nota Final;Situação
Aluno_74;20;2;15;19;0;11.2;Aprovado
Aluno_75;15;10;1;0;3;5.8;Reprovado
Aluno_76;12;0;3;7;0;4.4;Reprovado
Aluno_77;17;12;20;13;20;16.4;Aprovado
Aluno_78;14;14;6;8;7;9.8;Aprovado
Aluno_79;20;4;1;1;4;6.0;Reprovado
Aluno_80;12;20;5;4;1;8.4;Reprovado
Aluno_81;8;16;16;7;11;11.6;Aprovado
Aluno_82;14;5;6;15;16;11.2;Aprovado
Aluno_83;12;20;4;15;6;11.4;Aprovado
Aluno_84;0;10;4;12;10;7.2;Reprovado
Aluno_85;6;17;19;19;3;12.8;Aprovado
Aluno_86;8;3;15;14;4;8.8;Reprovado
Aluno_87;0;2;18;0;5;5.0;Reprovado
Aluno_88;11;12;8;2;10;8.6;Reprovado
Aluno_89;7;8;4;5;0;4.8;Reprovado
Aluno_90;10;20;7;13;9;11.8;Aprovado
Aluno_91;18;5;8;3;19;10.6;Aprovado
Aluno_92;16;11;4;17;20;13.6;Aprovado
Aluno_93;7;1;9;14;10;8.2;Reprovado
Aluno_94;2;2;1;8;16;5.8;Reprovado
Aluno_95;2;2;8;17;7;7.2;Reprovado
Aluno_96;0;11;10;2;12;7.0;Reprovado
Aluno_97;4;14;3;9;19;9.8;Aprovado
Aluno_98;9;8;1;16;17;10.2;Aprovado
Aluno_99;6;7;5;6;15;7.8;Reprovado
Aluno_100;8;10;13;14;1;9.2;Reprovado
Aluno_101;6;15;0;0;4;5.0;Reprovado
Aluno_102;8;3;17;10;17;11.0;Aprovado
Aluno_103;7;0;6;16;2;6.2;Reprovado
Aluno_104;11;6;0;4;16;7.4;Reprovado
Aluno_105;1;1;0;6;15;4.6;Reprovado
Aluno_106;0;4;0;18;5;5.4;Reprovado
Aluno_107;15;6;3;14;18;11.2;Aprovado
Aluno_108;4;3;3;2;6;3.6;Reprovado
Aluno_109;2;4;17;14;17;10.8;Aprovado
Aluno_110;11;0;10;4;13;7.6;Reprovado
Aluno_111;7;0;0;11;5;4.6;Reprovado
Aluno_112;2;14;9;19;7;10.2;Aprovado
Aluno_113;0;19;8;4;14;9.0;Reprovado
Aluno_114;2;18;3;2;14;7.8;Reprovado
Aluno_115;4;9;5;8;14;8.0;Reprovado
Aluno_116;14;17;15;8;15;13.8;Aprovado
Aluno_117;13;2;1;6;0;4.4;Reprovado
Aluno_118;2;10;17;1;10;8.0;Reprovado
Aluno_119;0;14;9;20;4;9.4;Reprovado
Aluno_120;4;10;16;15;4;9.8;Aprovado
Aluno_121;13;16;12;8;20;13.8;Aprovado
Aluno_122;6;16;17;12;5;11.2;Aprovado
Aluno_123;8;5;12;18;1;8.8;Reprovado
Aluno_124;14;4;16;19;5;11.6;Aprovado
Aluno_125;14;7;4;16;13;10.8;Aprovado
Aluno_126;9;1;10;5;10;7.0;Reprovado
Aluno_127;12;15;6;3;3;7.8;Reprovado
Aluno_128;18;19;9;0;8;10.8;Aprovado
Aluno_129;6;11;16;17;2;10.4;Aprovado
Aluno_130;16;5;14;18;15;13.6;Aprovado
Aluno_131;19;0;17;8;10;10.8;Aprovado
Aluno_132;3;3;18;12;3;7.8;Reprovado
Aluno_133;4;16;1;7;0;5.6;Reprovado
Aluno_134;6;12;3;12;20;10.6;Aprovado
Aluno_135;12;17;2;14;15;12.0;Aprovado
Aluno_136;14;4;6;10;18;10.4;Aprovado
Aluno_137;10;2;17;11;15;11.0;Aprovado
Aluno_138;3;10;9;13;10;9.0;Reprovado
Aluno_139;12;12;6;3;7;8.0;Reprovado
Aluno_140;6;3;7;0;0;3.2;Reprovado
Aluno_141;18;13;5;3;20;11.8;Aprovado
Aluno_142;1;10;0;18;8;7.4;Reprovado
Aluno_143;9;9;3;8;11;8.0;Reprovado
Aluno_144;12;18;13;9;7;11.8;Aprovado
Aluno_145;20;17;16;3;16;14.4;Aprovado
Aluno_146;5;5;19;19;9;11.4;Aprovado
Aluno_147;11;14;17;8;6;11.2;Aprovado
Aluno_148;11;20;10;12;18;14.2;Aprovado
Aluno_149;19;9;20;11;5;12.8;Aprovado
Aluno_150;10;4;13;10;20;11.4;Aprovado
Aluno_151;6;4;8;11;18;9.4;Reprovado
Aluno_152;0;9;14;17;17;11.4;Aprovado
Aluno_153;0;4;11;11;14;8.0;Reprovado
Aluno_154;19;2;9;15;1;9.2;Reprovado
Aluno_155;12;5;18;4;13;10.4;Aprovado
Aluno_156;8;3;18;19;20;13.6;Aprovado
Aluno_157;2;17;5;11;9;8.8;Reprovado
Aluno_158;6;8;19;20;15;13.6;Aprovado
Aluno_159;5;16;5;10;6;8.4;Reprovado
Aluno_160;7;12;7;8;7;8.2;Reprovado
Aluno_161;8;14;0;17;9;9.6;Aprovado
Aluno_162;4;19;16;2;14;11.0;Aprovado
Aluno_163;0;16;16;19;7;11.6;Aprovado
Aluno_164;18;12;14;16;12;14.4;Aprovado
Aluno_165;9;15;6;13;11;10.8;Aprovado
Aluno_166;11;3;18;0;7;7.8;Reprovado
Aluno_167;14;4;2;16;14;10.0;Aprovado
Aluno_168;8;4;10;7;11;8.0;Reprovado
Aluno_169;19;8;19;4;10;12.0;Aprovado
Aluno_170;16;16;18;4;18;14.4;Aprovado
Aluno_171;16;12;8;8;13;11.4;Aprovado
Aluno_172;19;1;9;2;17;9.6;Aprovado
Aluno_173;11;12;1;18;12;10.8;Aprovado
Aluno_174;6;20;0;8;3;7.4;Reprovado
Aluno_175;1;18;15;17;16;13.4;Aprovado
Aluno_176;2;2;17;15;18;10.8;Aprovado
Aluno_177;16;9;16;0;8;9.8;Aprovado
Aluno_178;4;1;5;1;6;3.4;Reprovado
Aluno_179;16;12;13;13;0;10.8;Aprovado
Aluno_180;16;18;14;13;6;13.4;Aprovado
Aluno_181;16;16;13;0;6;10.2;Aprovado
Aluno_182;1;20;2;15;19;11.4;Aprovado
Aluno_183;1;13;18;14;6;10.4;Aprovado
Aluno_184;4;11;11;14;7;9.4;Reprovado
Aluno_185;0;20;1;11;15;9.4;Reprovado
Aluno_186;0;11;2;15;2;6.0;Reprovado
Aluno_187;18;10;17;13;12;14.0;Aprovado
Aluno_188;1;6;0;14;9;6.0;Reprovado
Aluno_189;20;3;19;14;17;14.6;Aprovado
Aluno_190;11;18;20;18;6;14.6;Aprovado
Aluno_191;5;0;5;7;20;7.4;Reprovado
Aluno_192;3;2;4;1;20;6.0;Reprovado
Aluno_193;10;12;0;1;4;5.4;Reprovado
Aluno_194;16;14;18;9;6;12.6;Aprovado
Aluno_195;5;1;0;2;16;4.8;Reprovado
Aluno_196;4;10;20;16;3;10.6;Aprovado
Aluno_197;19;3;20;7;15;12.8;Aprovado
Aluno_198;1;18;15;3;18;11.0;Aprovado
Aluno_199;5;16;11;13;9;10.8;Aprovado
Aluno_200;10;2;7;20;2;8.2;Reprovado
Aluno_201;15;17;15;9;2;11.6;Aprovado
Aluno_202;15;7;0;0;16;7.6;Reprovado
Aluno_203;0;18;3;3;9;6.6;Reprovado
Aluno_204;8;4;9;0;16;7.4;Reprovado
Aluno_205;5;6;10;16;16;10.6;Aprovado
Aluno_206;15;20;16;16;20;17.4;Aprovado
Aluno_207;2;7;6;6;3;4.8;Reprovado
Aluno_208;19;4;11;19;20;14.6;Aprovado
Aluno_209;3;16;20;14;5;11.6;Aprovado
Aluno_210;18;4;6;12;11;10.2;Aprovado
Aluno_211;2;3;11;1;19;7.2;Reprovado
Aluno_212;18;18;14;18;16;16.8;Aprovado
Aluno_213;19;20;1;12;16;13.6;Aprovado
Aluno_214;6;1;13;10;9;7.8;Reprovado
Aluno_215;19;10;12;14;6;12.2;Aprovado
Aluno_216;8;12;3;9;15;9.4;Reprovado
Aluno_217;0;14;13;8;12;9.4;Reprovado
Aluno_218;7;11;13;8;2;8.2;Reprovado
Aluno_219;6;20;15;19;1;12.2;Aprovado
Aluno_220;17;10;6;0;15;9.6;Aprovado
Aluno_221;7;6;18;16;5;10.4;Aprovado
Aluno_222;0;4;1;11;5;4.2;Reprovado
Aluno_223;10;16;9;9;12;11.2;Aprovado
Aluno_224;17;19;17;4;6;12.6;Aprovado
Aluno_225;9;8;16;17;4;10.8;Aprovado
Aluno_226;2;13;4;14;6;7.8;Reprovado
Aluno_227;6;11;11;5;1;6.8;Reprovado
Aluno_228;15;5;5;6;16;9.4;Reprovado
Aluno_229;15;16;8;16;12;13.4;Aprovado
Aluno_230;19;18;19;5;20;16.2;Aprovado
Aluno_231;16;18;0;7;20;12.2;Aprovado
Aluno_232;1;15;14;11;15;11.2;Aprovado
Aluno_233;0;11;20;20;19;14.0;Aprovado
Aluno_234;15;11;5;13;1;9.0;Reprovado
Aluno_235;11;19;18;11;4;12.6;Aprovado
Aluno_236;4;5;17;9;17;10.4;Aprovado
Aluno_237;4;3;5;19;6;7.4;Reprovado
Aluno_238;8;5;12;14;10;9.8;Aprovado
Aluno_239;8;10;0;6;10;6.8;Reprovado
Aluno_240;2;0;12;8;16;7.6;Reprovado
Aluno_241;18;14;6;9;15;12.4;Aprovado
Aluno_242;15;10;14;9;12;12.0;Aprovado
Aluno_243;15;18;11;15;4;12.6;Aprovado
Aluno_244;2;17;0;6;19;8.8;Reprovado
Aluno_245;19;16;14;4;15;13.6;Aprovado
Aluno_246;0;18;3;2;15;7.6;Reprovado
Aluno_247;19;20;12;17;15;16.6;Aprovado
Aluno_248;10;13;4;10;13;10.0;Aprovado
Aluno_249;16;17;1;14;5;10.6;Aprovado
Aluno_250;7;18;0;20;1;9.2;Reprovado
Aluno_251;3;14;15;19;13;12.8;Aprovado
Aluno_252;5;14;5;4;15;8.6;Reprovado
Aluno_253;7;3;15;11;19;11.0;Aprovado
Aluno_254;19;6;13;3;12;10.6;Aprovado
Aluno_255;2;12;2;14;14;8.8;Reprovado
Aluno_256;15;2;14;8;11;10.0;Aprovado
Aluno_257;2;15;2;6;8;6.6;Reprovado
Aluno_258;17;8;1;9;17;10.4;Aprovado
Aluno_259;13;7;0;12;20;10.4;Aprovado
Aluno_260;17;19;8;7;13;12.8;Aprovado
Aluno_261;1;12;8;11;19;10.2;Aprovado
Aluno_262;2;16;6;18;3;9.0;Reprovado
Aluno_263;15;16;2;0;7;8.0;Reprovado
Aluno_264;8;16;17;15;7;12.6;Aprovado
Aluno_265;3;0;10;16;15;8.8;Reprovado
Aluno_266;0;7;6;17;9;7.8;Reprovado
Aluno_267;3;18;8;10;20;11.8;Aprovado
Aluno_268;0;5;0;17;16;7.6;Reprovado
Aluno_269;13;2;13;6;0;6.8;Reprovado
Aluno_270;20;4;19;17;17;15.4;Aprovado
Aluno_271;15;12;5;7;9;9.6;Aprovado
Aluno_272;19;14;6;5;20;12.8;Aprovado
Aluno_273;7;13;9;6;3;7.6;Reprovado
Aluno_274;6;15;6;9;0;7.2;Reprovado
Aluno_275;2;17;1;10;3;6.6;Reprovado
Aluno_276;16;10;3;12;3;8.8;Reprovado
Aluno_277;0;2;20;8;3;6.6;Reprovado
Aluno_278;15;9;16;6;16;12.4;Aprovado
Aluno_279;11;9;0;8;8;7.2;Reprovado
Aluno_280;18;20;9;12;18;15.4;Aprovado
Aluno_281;13;15;18;2;12;12.0;Aprovado
Aluno_282;5;11;14;2;3;7.0;Reprovado
Aluno_283;5;1;9;0;4;3.8;Reprovado
Aluno_284;12;8;18;20;12;14.0;Aprovado
Aluno_285;18;2;11;19;15;13.0;Aprovado
Aluno_286;7;14;15;1;4;8.2;Reprovado
Aluno_287;1;2;8;2;7;4.0;Reprovado
Aluno_288;20;18;14;14;15;16.2;Aprovado
Aluno_289;0;17;16;5;0;7.6;Reprovado
Aluno_290;14;7;13;12;5;10.2;Aprovado
Aluno_291;0;16;17;20;10;12.6;Aprovado
Aluno_292;4;7;1;0;15;5.4;Reprovado
Aluno_293;15;6;3;19;4;9.4;Reprovado
Aluno_294;18;6;17;18;15;14.8;Aprovado
Aluno_295;3;2;6;0;6;3.4;Reprovado
Aluno_296;2;0;12;20;18;10.4;Aprovado
Aluno_297;16;3;14;1;0;6.8;Reprovado
Aluno_298;16;4;0;14;8;8.4;Reprovado
Aluno_299;11;0;10;13;17;10.2;Aprovado
Aluno_300;13;14;9;18;12;13.2;Aprovado
Aluno_301;20;4;4;10;14;10.4;Aprovado
Aluno_302;5;12;15;14;2;9.6;Aprovado
Aluno_303;2;7;10;5;9;6.6;Reprovado
Aluno_304;8;7;20;19;8;12.4;Aprovado
Aluno_305;4;4;5;8;12;6.6;Reprovado
Aluno_306;16;8;8;4;15;10.2;Aprovado
Aluno_307;13;0;12;19;2;9.2;Reprovado
Aluno_308;20;3;7;1;14;9.0;Reprovado
Aluno_309;2;2;13;5;16;7.6;Reprovado
Aluno_310;0;1;0;17;13;6.2;Reprovado
Aluno_311;19;7;16;18;6;13.2;Aprovado
Aluno_312;20;8;4;8;19;11.8;Aprovado
Aluno_313;0;1;1;20;15;7.4;Reprovado
Aluno_314;2;13;8;5;20;9.6;Aprovado
Aluno_315;17;13;3;13;7;10.6;Aprovado
Aluno_316;9;3;16;12;3;8.6;Reprovado
Aluno_317;2;5;16;10;19;10.4;Aprovado
Aluno_318;7;10;20;11;14;12.4;Aprovado
Aluno_319;13;2;17;18;4;10.8;Aprovado
Aluno_320;17;7;15;18;12;13.8;Aprovado
Aluno_321;14;2;7;20;5;9.6;Aprovado
Aluno_322;1;13;10;18;4;9.2;Reprovado
Aluno_323;9;12;20;12;16;13.8;Aprovado
Aluno_324;1;12;20;13;6;10.4;Aprovado
Aluno_325;16;1;17;17;5;11.2;Aprovado
Aluno_326;7;12;9;11;1;8.0;Reprovado
Aluno_327;0;18;12;3;10;8.6;Reprovado
Aluno_328;8;5;16;9;6;8.8;Reprovado
Aluno_329;10;15;17;16;20;15.6;Aprovado
Aluno_330;15;1;9;3;7;7.0;Reprovado
Aluno_331;6;7;15;11;4;8.6;Reprovado
Aluno_332;9;16;19;12;17;14.6;Aprovado
Aluno_333;2;1;4;3;15;5.0;Reprovado
Aluno_334;17;9;12;9;13;12.0;Aprovado
Aluno_335;12;15;17;2;11;11.4;Aprovado
Aluno_336;6;5;16;14;16;11.4;Aprovado
Aluno_337;3;1;8;1;4;3.4;Reprovado
Aluno_338;12;1;13;16;13;11.0;Aprovado
Aluno_339;19;12;16;5;5;11.4;Aprovado
Aluno_340;0;14;3;7;14;7.6;Reprovado
Aluno_341;7;1;17;2;6;6.6;Reprovado
Aluno_342;13;6;19;17;13;13.6;Aprovado
Aluno_343;15;2;14;0;17;9.6;Aprovado
Aluno_344;13;7;10;15;0;9.0;Reprovado
Aluno_345;11;13;11;6;5;9.2;Reprovado
Aluno_346;18;6;8;2;2;7.2;Reprovado
Aluno_347;14;20;12;3;4;10.6;Aprovado
Aluno_348;1;6;14;8;11;8.0;Reprovado
Aluno_349;1;0;14;4;10;5.8;Reprovado
Aluno_350;18;16;4;18;12;13.6;Aprovado
Aluno_351;16;8;18;14;15;14.2;Aprovado
Aluno_352;19;20;19;7;17;16.4;Aprovado
Aluno_353;9;12;13;5;16;11.0;Aprovado
Aluno_354;5;20;16;17;16;14.8;Aprovado
Aluno_355;14;18;17;18;10;15.4;Aprovado
Aluno_356;10;20;20;14;19;16.6;Aprovado
Aluno_357;4;18;2;6;9;7.8;Reprovado
Aluno_358;0;16;1;9;15;8.2;Reprovado
Aluno_359;7;9;0;5;1;4.4;Reprovado
Aluno_360;20;9;9;13;16;13.4;Aprovado
Aluno_361;11;3;18;16;19;13.4;Aprovado
Aluno_362;11;7;16;8;9;10.2;Aprovado
Aluno_363;4;19;11;18;12;12.8;Aprovado
Aluno_364;6;19;0;4;11;8.0;Reprovado
Aluno_365;3;17;11;6;14;10.2;Aprovado
Aluno_366;5;13;16;18;6;11.6;Aprovado
Aluno_367;12;17;2;19;20;14.0;Aprovado
Aluno_368;19;13;10;6;12;12.0;Aprovado
Aluno_369;14;19;16;1;11;12.2;Aprovado
Aluno_370;2;20;2;15;11;10.0;Aprovado
Aluno_371;7;14;7;12;1;8.2;Reprovado
Aluno_372;19;3;19;7;4;10.4;Aprovado
Aluno_373;15;12;3;5;1;7.2;Reprovado
Aluno_374;12;7;20;5;19;12.6;Aprovado
Aluno_375;17;17;6;8;12;12.0;Aprovado
Aluno_376;9;11;13;3;2;7.6;Reprovado
Aluno_377;18;13;13;10;10;12.8;Aprovado
Aluno_378;16;1;3;4;15;7.8;Reprovado
Aluno_379;18;17;15;16;0;13.2;Aprovado
Aluno_380;4;1;0;19;18;8.4;Reprovado
Aluno_381;20;10;16;6;10;12.4;Aprovado
Aluno_382;8;8;9;14;8;9.4;Reprovado
Aluno_383;11;11;15;14;13;12.8;Aprovado
Aluno_384;20;16;15;13;8;14.4;Aprovado
Aluno_385;0;14;7;12;6;7.8;Reprovado
Aluno_386;0;16;6;10;15;9.4;Reprovado
Aluno_387;14;17;5;12;2;10.0;Aprovado
Aluno_388;1;5;15;8;18;9.4;Reprovado
Aluno_389;15;16;19;9;3;12.4;Aprovado
Aluno_390;7;17;15;3;6;9.6;Aprovado
Aluno_391;12;7;6;16;11;10.4;Aprovado
Aluno_392;20;8;8;13;17;13.2;Aprovado
Aluno_393;0;5;13;17;4;7.8;Reprovado
Aluno_394;15;4;10;10;9;9.6;Aprovado
Aluno_395;6;11;13;15;11;11.2;Aprovado
Aluno_396;4;10;6;0;7;5.4;Reprovado
Aluno_397;2;0;0;6;18;5.2;Reprovado
Aluno_398;11;10;12;9;14;11.2;Aprovado
Aluno_399;15;18;19;8;0;12.0;Aprovado
Aluno_400;18;8;2;2;2;6.4;Reprovado
Aluno_401;4;1;19;13;17;10.8;Aprovado
Aluno_402;13;11;3;14;17;11.6;Aprovado
Aluno_403;4;3;10;1;1;3.8;Reprovado
Aluno_404;14;3;1;13;4;7.0;Reprovado
Aluno_405;16;17;13;15;0;12.2;Aprovado
Aluno_406;13;14;11;6;9;10.6;Aprovado
Aluno_407;19;18;16;3;19;15.0;Aprovado
Aluno_408;4;12;11;17;9;10.6;Aprovado
Aluno_409;11;18;11;4;4;9.6;Aprovado
Aluno_410;15;16;0;5;17;10.6;Aprovado
Aluno_411;15;5;12;6;20;11.6;Aprovado
Aluno_412;20;15;13;14;14;15.2;Aprovado
Aluno_413;6;11;1;0;19;7.4;Reprovado
Aluno_414;3;18;11;3;7;8.4;Reprovado
Aluno_415;0;4;20;0;16;8.0;Reprovado
Aluno_416;4;16;15;10;11;11.2;Aprovado
Aluno_417;9;0;3;17;20;9.8;Aprovado
Aluno_418;4;9;7;13;11;8.8;Reprovado
Aluno_419;3;14;1;10;0;5.6;Reprovado
Aluno_420;1;20;9;9;3;8.4;Reprovado
Aluno_421;19;20;8;16;7;14.0;Aprovado
Aluno_422;9;10;14;3;0;7.2;Reprovado
Aluno_423;18;12;12;14;14;14.0;Aprovado
Aluno_424;0;4;16;15;17;10.4;Aprovado
Aluno_425;4;0;15;20;0;7.8;Reprovado
Aluno_426;12;11;1;12;10;9.2;Reprovado
Aluno_427;3;10;19;8;1;8.2;Reprovado
Aluno_428;15;16;19;10;0;12.0;Aprovado
Aluno_429;15;3;13;10;11;10.4;Aprovado
Aluno_430;1;14;2;5;15;7.4;Reprovado
Aluno_431;16;8;11;0;9;8.8;Reprovado
Aluno_432;19;20;7;5;17;13.6;Aprovado
Aluno_433;11;19;1;12;14;11.4;Aprovado
Aluno_434;17;18;3;4;16;11.6;Aprovado
Aluno_435;2;18;13;14;9;11.2;Aprovado
Aluno_436;0;11;15;17;2;9.0;Reprovado
Aluno_437;0;4;18;19;20;12.2;Aprovado
Aluno_438;18;9;1;13;15;11.2;Aprovado
Aluno_439;10;16;11;14;5;11.2;Aprovado
Aluno_440;4;4;13;4;2;5.4;Reprovado
Aluno_441;11;15;5;3;8;8.4;Reprovado
Aluno_442;2;6;12;1;10;6.2;Reprovado
Aluno_443;0;8;3;6;20;7.4;Reprovado
Aluno_444;0;2;17;9;12;8.0;Reprovado
Aluno_445;7;14;11;15;17;12.8;Aprovado
Aluno_446;9;15;19;9;3;11.0;Aprovado
Aluno_447;10;17;20;17;7;14.2;Aprovado
Aluno_448;11;13;18;16;12;14.0;Aprovado
Aluno_449;12;2;7;20;9;10.0;Aprovado
Aluno_450;11;11;6;12;1;8.2;Reprovado
Aluno_451;13;8;15;0;7;8.6;Reprovado
Aluno_452;1;6;18;0;5;6.0;Reprovado
Aluno_453;18;8;5;14;15;12.0;Aprovado
Aluno_454;17;12;19;0;17;13.0;Aprovado
Aluno_455;2;17;20;5;16;12.0;Aprovado
Aluno_456;16;4;10;12;5;9.4;Reprovado
Aluno_457;7;12;4;0;12;7.0;Reprovado
Aluno_458;9;3;15;4;13;8.8;Reprovado
Aluno_459;1;1;6;8;20;7.2;Reprovado
Aluno_460;18;15;4;16;9;12.4;Aprovado
Aluno_461;8;8;10;15;10;10.2;Aprovado
Aluno_462;6;8;14;7;12;9.4;Reprovado
Aluno_463;3;5;2;16;11;7.4;Reprovado
Aluno_464;20;10;4;14;8;11.2;Aprovado
Aluno_465;17;0;20;0;3;8.0;Reprovado
Aluno_466;12;3;4;11;6;7.2;Reprovado
Aluno_467;10;12;8;4;1;7.0;Reprovado
Aluno_468;3;12;14;5;6;8.0;Reprovado
Aluno_469;20;12;2;0;8;8.4;Reprovado
Aluno_470;3;1;5;0;4;2.6;Reprovado
Aluno_471;9;8;16;9;14;11.2;Aprovado
Aluno_472;4;7;20;9;17;11.4;Aprovado
Aluno_473;8;6;7;2;3;5.2;Reprovado
Aluno_474;2;3;20;16;18;11.8;Aprovado
Aluno_475;16;17;10;18;19;16.0;Aprovado
Aluno_476;2;2;5;10;6;5.0;Reprovado
Aluno_477;15;5;7;17;7;10.2;Aprovado
Aluno_478;3;11;9;1;16;8.0;Reprovado
Aluno_479;17;11;2;8;12;10.0;Aprovado
Aluno_480;16;20;13;16;20;17.0;Aprovado
Aluno_481;6;7;13;13;10;9.8;Aprovado
Aluno_482;4;0;9;3;0;3.2;Reprovado
Aluno_483;11;3;11;16;1;8.4;Reprovado
Aluno_484;16;20;5;16;16;14.6;Aprovado
Aluno_485;12;10;11;11;4;9.6;Aprovado
Aluno_486;2;2;13;19;5;8.2;Reprovado
Aluno_487;8;12;1;17;6;8.8;Reprovado
Aluno_488;16;16;8;2;20;12.4;Aprovado
Aluno_489;16;9;9;10;14;11.6;Aprovado
Aluno_490;19;20;16;17;18;18.0;Aprovado
Aluno_491;15;11;16;3;15;12.0;Aprovado
Aluno_492;12;14;2;16;12;11.2;Aprovado
Aluno_493;18;20;18;17;4;15.4;Aprovado
Aluno_494;16;9;0;4;2;6.2;Reprovado
Aluno_495;3;13;11;13;2;8.4;Reprovado
Aluno_496;11;12;6;9;18;11.2;Aprovado
Aluno_497;8;4;3;14;13;8.4;Reprovado
Aluno_498;18;5;9;0;15;9.4;Reprovado
Aluno_499;11;1;12;15;16;11.0;Aprovado
Aluno_500;8;16;1;10;3;7.6;Reprovado
Aluno_501;6;3;9;19;12;9.8;Aprovado
Aluno_502;13;13;20;5;7;11.6;Aprovado
Aluno_503;19;9;3;15;18;12.8;Aprovado
Aluno_504;18;2;17;1;4;8.4;Reprovado
Aluno_505;14;2;4;0;1;4.2;Reprovado
Aluno_506;15;14;18;8;14;13.8;Aprovado
Aluno_507;20;5;1;11;1;7.6;Reprovado
Aluno_508;4;16;11;16;10;11.4;Aprovado
Aluno_509;2;11;16;14;12;11.0;Aprovado
Aluno_510;11;19;9;18;9;13.2;Aprovado
Aluno_511;19;10;1;9;2;8.2;Reprovado
Aluno_512;20;3;5;11;4;8.6;Reprovado
Aluno_513;3;5;7;13;2;6.0;Reprovado
Aluno_514;20;0;18;8;5;10.2;Aprovado
